#,Company,Symbol,Weight,Price,Chg,% Chg
287,NRG Energy,NRG,0.05,151.65,-0.40,-0.27
288,Nucor,NUE,0.05,128.25,2.26,1.79
289,State Street Corporation,STT,0.05,103.50,2.26,2.24
290,AvalonBay Communities,AVB,0.05,207.11,-0.56,-0.27
291,Lennar,LEN,0.05,111.59,0.96,0.86
292,Constellation Brands,STZ,0.05,164.81,1.50,0.92
293,General Mills,GIS,0.05,53.22,-0.25,-0.47
294,Expand Energy,EXE,0.05,122.26,0.81,0.67
295,Seagate Technology,STX,0.05,136.56,3.48,2.61
296,Ventas,VTR,0.05,63.53,-0.00,-0.00
297,DuPont,DD,0.05,68.03,1.03,1.54
298,Humana,HUM,0.05,235.26,0.60,0.26
299,Broadridge Financial Solutions,BR,0.05,240.55,0.19,0.08
300,Keysight Technologies,KEYS,0.05,163.86,2.79,1.73
301,Estée Lauder Companies The,EL,0.05,77.75,-1.08,-1.37
302,Tractor Supply,TSCO,0.05,52.67,-0.99,-1.84
303,W. R. Berkley Corporation,WRB,0.05,73.46,-0.46,-0.63
304,American Water Works,AWK,0.05,142.86,-1.13,-0.79
305,Lululemon Athletica,LULU,0.05,232.42,6.86,3.04
306,DTE Energy,DTE,0.05,133.42,-0.62,-0.46
307,"Rollins, Inc.",ROL,0.05,57.07,-0.06,-0.11
308,Fifth Third Bancorp,FITB,0.05,41.05,0.90,2.24
309,Kellanova,K,0.05,78.48,-0.14,-0.17
310,IQVIA,IQV,0.05,157.15,1.98,1.28
311,Warner Bros. Discovery,WBD,0.05,10.91,0.23,2.19
312,Centene Corporation,CNC,0.05,53.68,0.28,0.53
313,Verisign,VRSN,0.05,282.43,-0.46,-0.16
314,Ameren,AEE,0.05,96.64,0.63,0.66
315,Darden Restaurants,DRI,0.05,221.90,0.56,0.25
316,Equity Residential,EQR,0.05,68.14,-0.92,-1.34
317,PPG Industries,PPG,0.05,113.71,1.38,1.22
318,United Airlines Holdings,UAL,0.05,78.56,1.59,2.06
319,GoDaddy,GDDY,0.05,179.25,2.05,1.16
