#,Company,Symbol,Weight,Price,Chg,% Chg
431,Everest Group,EG,0.02,345.14,-3.41,-0.98
432,Clorox,CLX,0.02,118.44,0.08,0.07
433,Masco,MAS,0.02,67.86,0.34,0.51
434,Domino's,DPZ,0.02,417.59,0.13,0.03
435,Cooper Companies The,COO,0.02,70.25,1.49,2.16
436,Builders FirstSource,BLDR,0.02,124.82,-1.47,-1.17
437,CF Industries,CF,0.02,83.61,-1.83,-2.14
438,Brown–Forman,BF.B,0.02,28.09,0.93,3.43
439,Nordson Corporation,NDSN,0.02,233.65,1.80,0.77
440,Regency Centers,REG,0.02,72.24,-0.19,-0.26
441,Hormel Foods,HRL,0.02,23.84,0.19,0.78
442,Ball Corporation,BALL,0.02,48.16,0.61,1.28
443,Alexandria Real Estate Equities,ARE,0.02,76.50,0.29,0.38
444,Universal Health Services,UHS,0.02,204.32,-0.68,-0.33
445,Healthpeak Properties,DOC,0.02,18.71,0.19,1.05
446,IDEX Corporation,IEX,0.02,166.08,2.89,1.77
447,Avery Dennison,AVY,0.02,159.59,0.00,0.00
448,Solventum,SOLV,0.02,71.39,-0.17,-0.24
449,Wynn Resorts,WYNN,0.02,116.96,-1.11,-0.94
450,Fox Corporation Class B,FOX,0.02,51.46,-0.14,-0.27
451,Fox Corporation Class A,FOXA,0.02,57.26,-0.29,-0.50
452,"UDR, Inc.",UDR,0.02,36.16,-0.06,-0.18
453,Baxter International,BAX,0.02,23.09,0.34,1.49
454,Viatris,VTRS,0.02,10.15,0.16,1.65
455,Franklin Resources,BEN,0.02,22.62,-0.17,-0.75
456,Paycom,PAYC,0.02,200.88,1.38,0.69
457,Host Hotels & Resorts,HST,0.02,16.43,-0.14,-0.88
458,Albemarle Corporation,ALB,0.02,95.76,-2.40,-2.44
459,Jack Henry & Associates,JKHY,0.02,155.04,0.58,0.38
460,Generac,GNRC,0.02,191.95,0.28,0.15
461,"BXP, Inc.",BXP,0.02,71.05,-0.68,-0.95
462,Huntington Ingalls Industries,HII,0.02,285.51,0.55,0.19
463,Pinnacle West,PNW,0.02,93.78,0.07,0.08
464,J.M. Smucker Company The,SJM,0.02,104.89,1.37,1.32
465,Skyworks Solutions,SWKS,0.02,74.38,0.16,0.22
466,Globe Life,GL,0.02,136.12,-1.98,-1.43
467,Revvity,RVTY,0.02,94.65,2.53,2.75
468,Camden Property Trust,CPT,0.02,102.31,0.61,0.60
469,Pool Corporation,POOL,0.02,290.24,-0.20,-0.07
470,Moderna,MRNA,0.02,27.82,0.10,0.36
471,Dayforce,DAY,0.02,68.25,-0.03,-0.05
472,FactSet,FDS,0.02,283.02,-0.93,-0.33
473,Assurant,AIZ,0.02,210.36,-4.50,-2.09
474,Norwegian Cruise Line Holdings,NCLH,0.02,23.28,-0.30,-1.26
475,Stanley Black & Decker,SWK,0.02,68.05,0.33,0.48
476,AES Corporation,AES,0.02,14.78,0.03,0.18
477,Akamai Technologies,AKAM,0.02,73.13,-0.54,-0.73
478,Molina Healthcare,MOH,0.02,191.31,-1.08,-0.56
479,Hasbro,HAS,0.02,73.77,-0.36,-0.49
480,Invesco,IVZ,0.02,23.15,-0.45,-1.92
481,News Corp Class A,NWSA,0.02,26.29,-0.28,-1.06
482,Interpublic Group of Companies The,IPG,0.02,26.71,-0.33,-1.21
483,A. O. Smith,AOS,0.02,69.34,0.13,0.18
484,Bio-Techne,TECH,0.02,61.71,2.13,3.57
485,Align Technology,ALGN,0.02,131.51,3.08,2.40
486,Mosaic Company The,MOS,0.02,29.63,-0.16,-0.54
487,Molson Coors Beverage Company,TAP,0.02,46.89,0.52,1.12
488,Campbell Soup Company,CPB,0.02,30.54,0.39,1.29
489,DaVita,DVA,0.01,126.48,0.48,0.38
490,Lamb Weston,LW,0.01,64.48,0.50,0.78
491,Conagra Brands,CAG,0.01,18.34,-0.00,-0.03
492,Charles River Laboratories,CRL,0.01,176.55,5.83,3.42
493,MGM Resorts,MGM,0.01,31.71,-0.46,-1.44
494,Federal Realty Investment Trust,FRT,0.01,98.30,0.08,0.08
495,APA Corporation,APA,0.01,23.12,-0.12,-0.53
496,EPAM Systems,EPAM,0.01,142.96,-0.01,-0.01
497,Mohawk Industries,MHK,0.01,127.32,-0.14,-0.11
498,Match Group,MTCH,0.01,32.50,-0.37,-1.11
499,LKQ Corporation,LKQ,0.01,29.88,0.13,0.45
500,Henry Schein,HSIC,0.01,63.15,-0.10,-0.16
501,Eastman Chemical Company,EMN,0.01,60.50,-0.17,-0.29
502,CarMax,KMX,0.01,43.27,-1.15,-2.60
503,News Corp Class B,NWS,0.01,29.76,-0.16,-0.53
